Datum;Woche;Zuschlag Belehnung SARON;Zuschlag Belehnung Fest;Zuschlag Tragbarkeit;Mindestlimite;Alle Abschlüsse;Arbeitstage;Fest 10 Jahre Bank;Fest 10 Jahre Konkurrenz (Min);Zinsvorteil Fest 10 Jahre;Fest 5 Jahre;Fest 5 Jahre Konkurrenz (Min);Zinsvorteil Fest 5 Jahre;Zinskurve;Price to Rent Ratio;Transaktionspreisindex Einfamilienhäuser;SARON 3 Jahre Bank;Aufpreis 10J - 3J SARON;Mietpreisindex;Konsumklima Index;Transaktionspreisindex Eigentumswohnung
01.02.05;162;5;0;5;0;2;13.8;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.49;230.4;0.98;0.34;109.5;-33.58;255.48
08.02.05;163;5;0;5;0;76;13.8;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.49;230.4;1;0.32;109.5;-33.58;255.48
15.02.05;164;5;0;5;0;53;13.8;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.49;230.4;1;0.41;109.5;-33.58;255.48
22.02.05;165;5;0;5;0;70;13.8;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.49;230.4;0.99;0.41;109.5;-33.58;255.48
01.03.05;166;5;0;5;0;28;20.5;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.49;230.4;1;0.5;109.5;-34.77;255.48
08.03.05;167;5;0;5;0.5;18;20.5;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.49;230.4;0.99;0.6;109.5;-34.77;255.48
15.03.05;168;5;0;5;0.5;5;20.5;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.49;230.4;0.8;0.79;109.5;-34.77;255.48
22.03.05;169;5;0;5;1;96;20.5;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.49;230.4;0.76;0.86;109.5;-34.77;255.48
29.03.05;170;5;0;5;1;97;20.5;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.49;230.4;0.76;0.86;109.5;-34.77;255.48
05.04.05;171;5;0;5;1;64;21;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.49;230.4;0.76;0.86;109.5;-34.77;255.48
12.04.05;172;5;0;5;1;96;21;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.49;230.4;0.76;0.86;109.5;-34.77;255.48
19.04.05;173;5;0;5;1;79;21;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.49;230.4;0.76;0.86;109.5;-34.77;255.48
26.04.05;174;5;0;5;1;92;21;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.49;230.4;0.76;0.86;109.5;-34.77;255.48
